page_audit_id,university_id,sample_course_id,page_role,tested_url,final_url,source_document_id,lighthouse_performance,lighthouse_accessibility,lighthouse_best_practices,lighthouse_seo,first_contentful_paint_ms,largest_contentful_paint_ms,total_blocking_time_ms,cumulative_layout_shift,speed_index_ms,lighthouse_strategy,lhci_run_id,wave_error_count,wave_contrast_error_count,wave_alert_count,wave_feature_count,wave_structure_count,wave_aria_count,wave_allitemcount,wave_aimscore,wave_collection_mode,wave_metric_comparability,wave_crawl_run_id,title_text,title_quality_score,meta_description_present,canonical_present,lang_declared,skip_link_present,h1_present,heading_structure_score,accessibility_statement_present,audit_round,audit_date,crawl_run_id,review_status,notes
PA_HOME_UNI11,UNI11,,university_homepage,https://www.unisa.it/,https://www.unisa.it/,SD0042,0.82,0.96,0.79,1,1710.098,2910.098,0,0.236171,2596.908317363252,mobile,CR034,3,3,37,35,57,171,306,7.9,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI12,UNI12,,university_homepage,https://www.uniroma3.it/,https://www.uniroma3.it/,SD0047,0.28,0.96,0.79,0.91,4320.7119,15432.841499999993,256,0.8734529999999999,13154.900581085738,mobile,CR034,3,29,68,48,98,466,712,5.4,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI13,UNI13,,university_homepage,https://www.unipa.it/,https://www.unipa.it/,SD0051,0.6,0.89,0.96,1,3621.3880000000004,6940.732000000002,54.5,0.003528,19214.627831996477,mobile,CR034,11,3,230,149,87,29,509,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI14,UNI14,,university_homepage,https://www.unistrapg.it/,https://www.unistrapg.it/it,SD0055,0.52,0.98,0.79,1,4927.956,23738.438499999997,254,0.007972,9357.16176654371,mobile,CR034,0,9,35,55,111,320,530,7.3,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI15,UNI15,,university_homepage,https://www.uniurb.it/,https://www.uniurb.it/,SD0061,0.5,0.93,1,0.92,24000.902999999988,26962.21349999999,232.5,0.070699,24000.902999999988,mobile,CR034,9,18,182,75,166,428,878,5.5,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI16,UNI16,,university_homepage,https://www.uninettunouniversity.net/,https://www.uninettunouniversity.net/en/default.aspx,SD0065,0.05,0.9,0.59,1,7928.121499999999,38177.78199999999,3839,0.48475199999999996,10351.53909034944,mobile,CR034,0,0,45,85,40,73,243,9.4,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI17,UNI17,,university_homepage,https://www.unical.it/,https://www.unical.it/,SD0069,0.62,0.98,1,1,3117.6890000000003,4065.6890000000003,121.00000000000045,0.336308,4132.79171864748,mobile,CR034,1,8,507,75,91,45,727,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI18,UNI18,,university_homepage,https://www.unina.it/,https://www.unina.it/it/,SD0074,0.68,0.78,0.93,0.92,4271.239,5349.5205000000005,158.99999999999955,0,4271.239,mobile,CR034,9,51,39,28,101,220,448,3.7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI19,UNI19,,university_homepage,https://www.unibg.it/,https://www.unibg.it/,SD0078,0.69,0.86,0.89,1,3978.463999999999,5425.139999999999,67.5,0,4887.059360252653,mobile,CR034,1,7,41,86,109,191,435,7.9,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI20,UNI20,,university_homepage,https://www.unitn.it/,https://www.unitn.it/it,SD0082,0.59,0.96,1,0.92,1672.5645000000002,11750.084499999997,504.4999999999991,0,4360.205598213832,mobile,CR034,126,76,66,97,286,878,1529,2.4,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C001,UNI01,C001,course_page,https://corsi.unibo.it/laurea/ScienzeComunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,SD0003,0.36,0.97,1,1,24804.77852801513,27623.15199999999,0,0.422278,24804.77852801513,mobile,CR034,1,0,21,17,40,67,146,9.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C002,UNI01,C002,course_page,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,SD0004,0.48,1,1,0.92,18653.452000000005,20308.572000000004,334,0,18653.452000000005,mobile,CR034,0,0,16,13,71,134,234,9.6,api_primary,standard,WVRUN_pilot4,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C003,UNI02,C003,course_page,https://www.unipd.it/corsi-di-laurea/comunicazione,https://www.unipd.it/corsi-di-laurea/comunicazione,SD0089,0.32,0.96,0.71,0.66,3326.0233000000007,24607.21669999999,2033.4999999999964,0,9385.12715817636,mobile,CR034,1,1,44,62,89,350,547,8.8,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C004,UNI02,C004,course_page,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,SD0090,0.36,0.96,0.71,0.66,3315.306,24729.667999999998,1252.4164999999998,0,9589.70639504804,mobile,CR034,1,1,44,62,89,352,549,8.8,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C005,UNI03,C005,course_page,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,SD0011,0.69,0.91,1,0.85,4380.075000000001,4530.075000000001,20,0.083141,6116.072901801215,mobile,CR034,29,0,27,11,167,130,364,5.9,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C006,UNI03,C006,course_page,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,SD0012,0.68,0.9,1,0.85,4115.814999999998,4732.9929999999995,0,0.022757999999999997,7397.21416400349,mobile,CR034,29,0,24,9,105,98,265,5.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C007,UNI04,C007,course_page,https://www.unifi.it/it/node/6520,https://www.unifi.it/it/node/6520,SD0015,0.75,1,1,0.92,1363.2269999999999,4347.227,408,0.006221,2753.574635088532,mobile,CR034,0,0,164,8,69,70,311,9.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C008,UNI04,C008,course_page,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,SD0016,0.69,1,1,0.92,1367.377,4876.377,478.00000000000045,0,2863.2823982797104,mobile,CR034,1,0,164,9,101,87,362,9.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C009,UNI05,C009,course_page,https://scienze-comunicazione.unisi.it/it,https://scienze-comunicazione.unisi.it/it,SD0019,0.57,0.93,0.96,0.92,8205.1725,14322.1055,37,0.013544,8205.1725,mobile,CR034,0,0,5,3,23,10,41,9.9,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C010,UNI05,C010,course_page,https://www.unisi.it/ugov/degree/82714,https://www.unisi.it/ugov/degree/82714,SD0091,0.54,0.91,1,0.83,1242.5129999999997,4966.040999999999,18,0.6856840000000002,5378.484452132307,mobile,CR034,1,0,1,1,5,0,8,9.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C011,UNI06,C011,course_page,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,SD0024,0.8,0.93,0.96,0.92,2751.393,3901.128,90,0,4821.912739968186,mobile,CR034,1,25,34,22,151,207,440,5.8,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C012,UNI06,C012,course_page,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,SD0025,0.82,0.93,0.96,0.92,2889.5819999999994,3922.8399999999997,89,0,3218.679583077439,mobile,CR034,1,25,35,21,162,211,455,5.8,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C013,UNI07,C013,course_page,https://corsi.unige.it/11938,https://corsi.unige.it/corsi/11938,SD0028,0.97,0.86,1,0.92,1397.4180000000001,2222.418,85,0.014995,3236.7022516547854,mobile,CR034,19,29,54,15,142,228,487,3.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C014,UNI07,C014,course_page,https://corsi.unige.it/11945,https://corsi.unige.it/corsi/11945,SD0029,0.57,0.82,1,0.83,8761.6195,15443.342500000002,20,0,8761.6195,mobile,CR034,21,42,54,29,150,226,522,3.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C015,UNI08,C015,course_page,https://www.unimib.it/triennale/comunicazione-interculturale,https://www.unimib.it/triennale/comunicazione-interculturale,SD0032,0.59,0.96,0.96,0.92,3278.126,9031.427999999998,284.1260000000011,0,5373.915746857836,mobile,CR034,4,9,13,8,47,44,125,7.3,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C016,UNI08,C016,course_page,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,SD0033,0.68,0.96,0.96,0.85,1817.5795000000003,8827.8115,255.5,0.058243,2784.69169079019,mobile,CR034,4,9,14,8,47,44,126,7.3,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C017,UNI09,C017,course_page,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,SD0036,0.66,0.96,0.96,0.92,3166.83,9262.791000000001,7,0,5261.8302560236025,mobile,CR034,1,2,36,8,171,48,266,8.8,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C018,UNI09,C018,course_page,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,SD0037,0.65,0.96,0.96,0.92,3279.5950000000003,9108.72,12,0,5652.700791359043,mobile,CR034,1,2,51,8,380,51,493,8.7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C019,UNI10,C019,course_page,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,SD0040,0.73,0.95,0.96,0.92,2292.5615,4759.876499999999,242,0,4751.184959582274,mobile,CR034,7,3,150,17,84,126,387,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C020,UNI10,C020,course_page,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,SD0041,0.77,0.95,0.96,0.92,2439.404,4635.904,190,0,3228.1230506046877,mobile,CR034,7,3,151,17,83,123,384,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C021,UNI11,C021,course_page,https://corsi.unisa.it/scienze-della-comunicazione,https://corsi.unisa.it/scienze-della-comunicazione,SD0044,0.95,0.98,0.79,0.92,1518.7199999999998,2347.6965,0,0.098732,2776.181748537055,mobile,CR034,3,8,39,27,48,122,247,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C022,UNI11,C022,course_page,https://corsi.unisa.it/corporate-communication-e-media,https://corsi.unisa.it/corporate-communication-e-media,SD0045,0.92,0.98,0.79,0.92,1517.894,2420.5280000000002,15.5,0.1371,2676.6917696708024,mobile,CR034,3,8,35,23,46,119,234,7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C023,UNI12,C023,course_page,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,SD0049,0.44,0.9,0.79,1,3878.2244999999994,6765.5875000000015,144.07324999999946,0.266009,19685.007394651915,mobile,CR034,5,1,16,16,67,456,561,8.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C024,UNI12,C024,course_page,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,SD0050,0.52,0.9,0.79,1,6248.144799999999,11034.408800000001,301.1872999999978,0,7048.420127188969,mobile,CR034,5,1,16,16,67,456,561,8.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C025,UNI13,C025,course_page,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,SD0053,0.56,0.9,0.93,1,8544.7736,12416.1992,108,0,8544.7736,mobile,CR034,8,0,141,36,66,23,274,7.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C026,UNI13,C026,course_page,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,SD0054,0.63,0.85,0.96,0.92,4363.2919999999995,8929.092999999999,62,0,4945.426650003777,mobile,CR034,16,0,134,35,71,23,279,6.2,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C027,UNI14,C027,course_page,https://www.unistrapg.it/comip,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,SD0057,0.55,1,0.79,0.92,12274.266,14886.785499999998,60,0,12274.266,mobile,CR034,3,0,91,81,132,1018,1325,8.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C028,UNI14,C028,course_page,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,SD0058,0.55,1,0.79,0.92,10636.1085,13611.003,77.88299999999981,0,10636.1085,mobile,CR034,4,0,20,25,96,247,392,9,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C029,UNI15,C029,course_page,https://www.uniurb.it/corsi/1757256,https://www.uniurb.it/corsi/1757256,SD0063,0.52,0.92,0.96,0.92,1440.2825,11897.103500000001,961.5,0.06961700000000001,3291.8741372037334,mobile,CR034,7,2,138,58,134,333,672,7.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C030,UNI15,C030,course_page,https://www.uniurb.it/corsi/1757220,https://www.uniurb.it/corsi/1757220,SD0064,0.48,0.92,0.96,0.92,1444.976,11778.083999999999,1114.999999999999,0.06966699999999999,4308.6796780677105,mobile,CR034,7,2,137,58,133,330,667,7.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C031,UNI16,C031,course_page,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,SD0067,0.55,0.92,0.75,1,9824.701000000001,12366.515,129.96399999999994,0,9824.701000000001,mobile,CR034,4,1,108,17,46,29,205,7.7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C032,UNI16,C032,course_page,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,SD0068,0.43,0.93,0.75,1,9089.418000000001,11288.442000000003,527,0,9089.418000000001,mobile,CR034,1,0,49,22,33,36,141,9.4,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C033,UNI17,C033,course_page,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,SD0071,0.43,0.95,1,0.58,4105.4475,7010.447500000001,262,0.377249,4105.4475,mobile,CR034,4,9,39,12,45,31,140,6.7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C034,UNI17,C034,course_page,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,SD0072,0.4,0.93,0.96,0.92,4124.2505,7952.750499999998,255,0.47617,4465.494704060319,mobile,CR034,10,22,481,29,53,36,631,5.5,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C035,UNI18,C035,course_page,https://www.corsi.unina.it/D27/home,https://www.corsi.unina.it/D27/home,SD0076,0.42,0.92,0.96,0.92,13210.302,17486.755000000005,511,0,13210.302,mobile,CR034,19,2,81,4,23,102,231,5.9,browser_fallback,reduced,WVRUN_browser_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_COURSE_C036,UNI18,C036,course_page,https://www.corsi.unina.it/DA2/home,https://www.corsi.unina.it/DA2/home,SD0077,0.29,0.92,0.96,0.92,13207.478000000001,20486.217,510,0.25812199999999996,13207.478000000001,mobile,CR034,19,2,61,4,23,101,210,6,browser_fallback,reduced,WVRUN_browser_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
